工号,日期,项目,金额,部门,是否已结清,备注
100107,2026-11-22,差旅费,147.59,财务部,否,上海交通费报销（第107笔）
100108,2026-12-01,交通费,148.96,市场部,是,西安办公用品报销（第108笔）
100109,2026-01-08,办公用品,150.33,市场部,否,西安招待费报销（第109笔）
100110,2026-02-15,培训费,151.70,行政部,否,杭州交通费报销（第110笔）
100111,2026-03-22,办公用品,153.07,技术部,是,西安办公用品报销（第111笔）
100112,2026-04-01,差旅费,154.44,销售部,否,武汉差旅费报销（第112笔）
100113,2026-05-08,通讯费,155.81,销售部,否,成都培训费报销（第113笔）
100114,2026-06-15,差旅费,157.18,财务部,是,成都招待费报销（第114笔）
100115,2026-07-22,办公用品,158.55,财务部,否,深圳差旅费报销（第115笔）
100116,2026-08-01,培训费,159.92,销售部,否,上海通讯费报销（第116笔）
100117,2026-09-08,维修费,161.29,行政部,是,深圳招待费报销（第117笔）
100118,2026-10-15,培训费,162.66,财务部,否,西安办公用品报销（第118笔）
100119,2026-11-22,维修费,164.03,销售部,否,深圳差旅费报销（第119笔）
100120,2026-12-01,招待费,165.40,销售部,是,武汉通讯费报销（第120笔）
100121,2026-01-08,快递费,166.77,销售部,否,北京招待费报销（第121笔）
100122,2026-02-15,交通费,168.14,技术部,否,成都快递费报销（第122笔）
100123,2026-03-22,维修费,169.51,市场部,是,成都招待费报销（第123笔）
100124,2026-04-01,办公用品,170.88,行政部,否,上海办公用品报销（第124笔）
100125,2026-05-08,通讯费,172.25,财务部,否,上海培训费报销（第125笔）
100126,2026-06-15,培训费,173.62,技术部,是,武汉交通费报销（第126笔）
100127,2026-07-22,快递费,174.99,财务部,否,西安培训费报销（第127笔）
100128,2026-08-01,培训费,176.36,技术部,否,武汉交通费报销（第128笔）
100129,2026-09-08,办公用品,177.73,财务部,是,武汉维修费报销（第129笔）
100130,2026-10-15,差旅费,179.10,技术部,否,武汉维修费报销（第130笔）
100131,2026-11-22,办公用品,180.47,技术部,否,武汉培训费报销（第131笔）
100132,2026-12-01,交通费,181.84,技术部,是,西安维修费报销（第132笔）
100133,2026-01-08,招待费,183.21,技术部,否,成都快递费报销（第133笔）
100134,2026-02-15,快递费,184.58,财务部,否,杭州招待费报销（第134笔）
100135,2026-03-22,交通费,185.95,技术部,是,杭州差旅费报销（第135笔）
100136,2026-04-01,招待费,187.32,销售部,否,上海维修费报销（第136笔）
100137,2026-05-08,通讯费,188.69,行政部,否,西安交通费报销（第137笔）
100138,2026-06-15,交通费,190.06,财务部,是,北京快递费报销（第138笔）
100139,2026-07-22,维修费,191.43,行政部,否,上海交通费报销（第139笔）
100140,2026-08-01,办公用品,192.80,技术部,否,成都招待费报销（第140笔）
100141,2026-09-08,培训费,194.17,行政部,是,上海维修费报销（第141笔）
100142,2026-10-15,招待费,195.54,销售部,否,成都维修费报销（第142笔）
100143,2026-11-22,快递费,196.91,行政部,否,上海差旅费报销（第143笔）
100144,2026-12-01,培训费,198.28,销售部,是,杭州培训费报销（第144笔）
100145,2026-01-08,通讯费,199.65,财务部,否,深圳快递费报销（第145笔）
100146,2026-02-15,快递费,201.02,市场部,否,北京差旅费报销（第146笔）
100147,2026-03-22,差旅费,202.39,技术部,是,杭州维修费报销（第147笔）
100148,2026-04-01,招待费,203.76,技术部,否,上海差旅费报销（第148笔）
100149,2026-05-08,培训费,205.13,市场部,否,杭州交通费报销（第149笔）
100150,2026-06-15,交通费,206.50,财务部,是,
100151,2026-07-22,维修费,207.87,销售部,否,武汉办公用品报销（第151笔）
100152,2026-08-01,通讯费,209.24,销售部,否,西安维修费报销（第152笔）
100153,2026-09-08,通讯费,210.61,销售部,是,杭州差旅费报销（第153笔）
100154,2026-10-15,维修费,211.98,技术部,否,上海通讯费报销（第154笔）
100155,2026-11-22,快递费,213.35,财务部,否,深圳招待费报销（第155笔）
100156,2026-12-01,办公用品,214.72,销售部,是,武汉招待费报销（第156笔）
100157,2026-01-08,交通费,216.09,财务部,否,上海交通费报销（第157笔）
100158,2026-02-15,快递费,217.46,财务部,否,杭州招待费报销（第158笔）
100159,2026-03-22,交通费,218.83,行政部,是,上海培训费报销（第159笔）
100160,2026-04-01,交通费,220.20,技术部,否,武汉交通费报销（第160笔）
100161,2026-05-08,交通费,221.57,财务部,否,北京办公用品报销（第161笔）
100162,2026-06-15,培训费,222.94,技术部,是,深圳招待费报销（第162笔）
100163,2026-07-22,通讯费,224.31,销售部,否,成都维修费报销（第163笔）
100164,2026-08-01,差旅费,225.68,行政部,否,上海招待费报销（第164笔）
100165,2026-09-08,办公用品,227.05,技术部,是,上海通讯费报销（第165笔）
100166,2026-10-15,培训费,228.42,技术部,否,杭州培训费报销（第166笔）
100167,2026-11-22,培训费,229.79,财务部,否,上海培训费报销（第167笔）
100168,2026-12-01,快递费,231.16,行政部,是,深圳办公用品报销（第168笔）
100169,2026-01-08,交通费,232.53,销售部,否,深圳快递费报销（第169笔）
100170,2026-02-15,维修费,233.90,市场部,否,北京培训费报销（第170笔）
100171,2026-03-22,维修费,235.27,市场部,是,成都培训费报销（第171笔）
100172,2026-04-01,通讯费,236.64,市场部,否,西安差旅费报销（第172笔）
100173,2026-05-08,通讯费,238.01,技术部,否,成都交通费报销（第173笔）
100174,2026-06-15,差旅费,239.38,市场部,是,杭州通讯费报销（第174笔）
100175,2026-07-22,培训费,240.75,技术部,否,武汉快递费报销（第175笔）
100176,2026-08-01,维修费,242.12,销售部,否,深圳维修费报销（第176笔）
100177,2026-09-08,交通费,243.49,技术部,是,西安快递费报销（第177笔）
100178,2026-10-15,通讯费,244.86,市场部,否,上海维修费报销（第178笔）
100179,2026-11-22,交通费,246.23,销售部,否,武汉办公用品报销（第179笔）
100180,2026-12-01,快递费,247.60,技术部,是,深圳差旅费报销（第180笔）
100181,2026-01-08,维修费,248.97,销售部,否,成都交通费报销（第181笔）
100182,2026-02-15,交通费,250.34,销售部,否,北京差旅费报销（第182笔）
100183,2026-03-22,招待费,251.71,技术部,是,西安通讯费报销（第183笔）
100184,2026-04-01,维修费,253.08,行政部,否,北京办公用品报销（第184笔）
100185,2026-05-08,交通费,254.45,销售部,否,成都维修费报销（第185笔）
100186,2026-06-15,差旅费,255.82,市场部,是,西安招待费报销（第186笔）
100187,2026-07-22,交通费,257.19,财务部,否,上海快递费报销（第187笔）
100188,2026-08-01,快递费,258.56,财务部,否,成都培训费报销（第188笔）
100189,2026-09-08,招待费,259.93,财务部,是,武汉交通费报销（第189笔）
100190,2026-10-15,招待费,261.30,财务部,否,武汉差旅费报销（第190笔）
100191,2026-11-22,招待费,262.67,销售部,否,北京办公用品报销（第191笔）
100192,2026-12-01,通讯费,264.04,技术部,是,武汉培训费报销（第192笔）
100193,2026-01-08,培训费,265.41,市场部,否,上海办公用品报销（第193笔）
100194,2026-02-15,差旅费,266.78,财务部,否,深圳快递费报销（第194笔）
100195,2026-03-22,快递费,268.15,市场部,是,武汉维修费报销（第195笔）
100196,2026-04-01,培训费,269.52,行政部,否,上海招待费报销（第196笔）
100197,2026-05-08,培训费,270.89,销售部,否,杭州招待费报销（第197笔）
100198,2026-06-15,差旅费,272.26,技术部,是,北京招待费报销（第198笔）
100199,2026-07-22,招待费,273.63,市场部,否,杭州交通费报销（第199笔）
100200,2026-08-01,差旅费,275.00,财务部,否,
100201,2026-09-08,差旅费,276.37,市场部,是,杭州维修费报销（第201笔）
100202,2026-10-15,培训费,277.74,销售部,否,成都招待费报销（第202笔）
100203,2026-11-22,培训费,279.11,技术部,否,上海维修费报销（第203笔）
100204,2026-12-01,交通费,280.48,技术部,是,成都通讯费报销（第204笔）
100205,2026-01-08,交通费,281.85,财务部,否,北京招待费报销（第205笔）
100206,2026-02-15,办公用品,283.22,财务部,否,上海快递费报销（第206笔）
100207,2026-03-22,通讯费,284.59,市场部,是,北京办公用品报销（第207笔）
100208,2026-04-01,交通费,285.96,行政部,否,深圳培训费报销（第208笔）
100209,2026-05-08,招待费,287.33,行政部,否,上海培训费报销（第209笔）
100210,2026-06-15,交通费,288.70,财务部,是,杭州培训费报销（第210笔）
100211,2026-07-22,快递费,290.07,行政部,否,杭州培训费报销（第211笔）
100212,2026-08-01,通讯费,291.44,市场部,否,武汉差旅费报销（第212笔）
100213,2026-09-08,招待费,292.81,行政部,是,西安通讯费报销（第213笔）
100214,2026-10-15,快递费,294.18,销售部,否,深圳交通费报销（第214笔）
100215,2026-11-22,办公用品,295.55,市场部,否,武汉交通费报销（第215笔）
100216,2026-12-01,通讯费,296.92,财务部,是,武汉交通费报销（第216笔）
100217,2026-01-08,维修费,298.29,市场部,否,西安差旅费报销（第217笔）
100218,2026-02-15,交通费,299.66,销售部,否,成都快递费报销（第218笔）
100219,2026-03-22,培训费,301.03,技术部,是,上海交通费报销（第219笔）
100220,2026-04-01,交通费,302.40,技术部,否,武汉差旅费报销（第220笔）
100221,2026-05-08,办公用品,303.77,财务部,否,成都快递费报销（第221笔）
100222,2026-06-15,通讯费,305.14,财务部,是,西安差旅费报销（第222笔）
100223,2026-07-22,培训费,306.51,财务部,否,西安维修费报销（第223笔）
100224,2026-08-01,培训费,307.88,市场部,否,西安差旅费报销（第224笔）
100225,2026-09-08,差旅费,309.25,市场部,是,上海培训费报销（第225笔）
100226,2026-10-15,通讯费,310.62,销售部,否,成都招待费报销（第226笔）
100227,2026-11-22,差旅费,311.99,技术部,否,北京培训费报销（第227笔）
100228,2026-12-01,培训费,313.36,财务部,是,深圳招待费报销（第228笔）
100229,2026-01-08,培训费,314.73,技术部,否,西安通讯费报销（第229笔）
100230,2026-02-15,交通费,316.10,技术部,否,上海培训费报销（第230笔）
100231,2026-03-22,办公用品,317.47,行政部,是,西安维修费报销（第231笔）
100232,2026-04-01,差旅费,318.84,技术部,否,杭州通讯费报销（第232笔）
100233,2026-05-08,差旅费,320.21,行政部,否,深圳快递费报销（第233笔）
100234,2026-06-15,维修费,321.58,行政部,是,成都通讯费报销（第234笔）
100235,2026-07-22,快递费,322.95,技术部,否,上海招待费报销（第235笔）
100236,2026-08-01,维修费,324.32,市场部,否,上海招待费报销（第236笔）
100237,2026-09-08,办公用品,325.69,市场部,是,武汉差旅费报销（第237笔）
100238,2026-10-15,培训费,327.06,财务部,否,杭州培训费报销（第238笔）
100239,2026-11-22,招待费,328.43,销售部,否,北京交通费报销（第239笔）
100240,2026-12-01,招待费,329.80,市场部,是,成都差旅费报销（第240笔）
100241,2026-01-08,办公用品,331.17,行政部,否,成都快递费报销（第241笔）
100242,2026-02-15,招待费,332.54,技术部,否,杭州快递费报销（第242笔）
100243,2026-03-22,办公用品,333.91,市场部,是,武汉培训费报销（第243笔）
100244,2026-04-01,招待费,335.28,行政部,否,上海快递费报销（第244笔）
100245,2026-05-08,维修费,336.65,行政部,否,杭州办公用品报销（第245笔）
100246,2026-06-15,培训费,338.02,财务部,是,西安差旅费报销（第246笔）
100247,2026-07-22,差旅费,339.39,市场部,否,北京交通费报销（第247笔）
100248,2026-08-01,培训费,340.76,行政部,否,西安招待费报销（第248笔）
100249,2026-09-08,维修费,342.13,财务部,是,北京培训费报销（第249笔）
100250,2026-10-15,快递费,343.50,行政部,否,
100251,2026-11-22,招待费,344.87,行政部,否,成都办公用品报销（第251笔）
100252,2026-12-01,差旅费,346.24,市场部,是,西安办公用品报销（第252笔）
100253,2026-01-08,差旅费,347.61,市场部,否,深圳招待费报销（第253笔）
100254,2026-02-15,培训费,348.98,销售部,否,武汉交通费报销（第254笔）
100255,2026-03-22,维修费,350.35,财务部,是,上海差旅费报销（第255笔）
100256,2026-04-01,培训费,351.72,销售部,否,深圳通讯费报销（第256笔）
100257,2026-05-08,维修费,353.09,销售部,否,武汉差旅费报销（第257笔）
100258,2026-06-15,维修费,354.46,技术部,是,武汉交通费报销（第258笔）
100259,2026-07-22,通讯费,355.83,技术部,否,武汉差旅费报销（第259笔）
100260,2026-08-01,差旅费,357.20,销售部,否,上海通讯费报销（第260笔）
100261,2026-09-08,通讯费,358.57,行政部,是,上海办公用品报销（第261笔）
100262,2026-10-15,办公用品,359.94,市场部,否,深圳通讯费报销（第262笔）
100263,2026-11-22,通讯费,361.31,市场部,否,西安维修费报销（第263笔）
100264,2026-12-01,交通费,362.68,销售部,是,深圳快递费报销（第264笔）
100265,2026-01-08,培训费,364.05,技术部,否,成都招待费报销（第265笔）
100266,2026-02-15,快递费,365.42,财务部,否,深圳通讯费报销（第266笔）
100267,2026-03-22,维修费,366.79,技术部,是,北京维修费报销（第267笔）
100268,2026-04-01,差旅费,368.16,市场部,否,深圳通讯费报销（第268笔）
100269,2026-05-08,办公用品,369.53,技术部,否,上海培训费报销（第269笔）
100270,2026-06-15,快递费,370.90,财务部,是,北京差旅费报销（第270笔）
100271,2026-07-22,维修费,372.27,市场部,否,成都招待费报销（第271笔）
100272,2026-08-01,培训费,373.64,技术部,否,北京差旅费报销（第272笔）
100273,2026-09-08,培训费,375.01,行政部,是,深圳通讯费报销（第273笔）
100274,2026-10-15,通讯费,376.38,行政部,否,西安培训费报销（第274笔）
100275,2026-11-22,快递费,377.75,行政部,否,成都办公用品报销（第275笔）
100276,2026-12-01,快递费,379.12,行政部,是,北京交通费报销（第276笔）
100277,2026-01-08,快递费,380.49,销售部,否,武汉通讯费报销（第277笔）
100278,2026-02-15,办公用品,381.86,销售部,否,北京差旅费报销（第278笔）
100279,2026-03-22,交通费,383.23,销售部,是,武汉培训费报销（第279笔）
100280,2026-04-01,快递费,384.60,市场部,否,北京差旅费报销（第280笔）
100281,2026-05-08,招待费,385.97,销售部,否,西安通讯费报销（第281笔）
100282,2026-06-15,维修费,387.34,财务部,是,西安招待费报销（第282笔）
100283,2026-07-22,办公用品,388.71,行政部,否,成都办公用品报销（第283笔）
100284,2026-08-01,招待费,390.08,财务部,否,武汉差旅费报销（第284笔）
100285,2026-09-08,快递费,391.45,行政部,是,武汉交通费报销（第285笔）
100286,2026-10-15,交通费,392.82,技术部,否,成都维修费报销（第286笔）
100287,2026-11-22,快递费,394.19,行政部,否,西安培训费报销（第287笔）
100288,2026-12-01,差旅费,395.56,技术部,是,上海招待费报销（第288笔）
100289,2026-01-08,招待费,396.93,行政部,否,杭州办公用品报销（第289笔）
100290,2026-02-15,交通费,398.30,销售部,否,上海培训费报销（第290笔）
100291,2026-03-22,差旅费,399.67,销售部,是,武汉培训费报销（第291笔）
100292,2026-04-01,招待费,401.04,市场部,否,成都办公用品报销（第292笔）
100293,2026-05-08,差旅费,402.41,财务部,否,西安通讯费报销（第293笔）
100294,2026-06-15,维修费,403.78,技术部,是,上海办公用品报销（第294笔）
100295,2026-07-22,维修费,405.15,行政部,否,杭州快递费报销（第295笔）
100296,2026-08-01,交通费,406.52,技术部,否,武汉培训费报销（第296笔）
100297,2026-09-08,维修费,407.89,行政部,是,北京培训费报销（第297笔）
100298,2026-10-15,通讯费,409.26,销售部,否,上海维修费报销（第298笔）
100299,2026-11-22,办公用品,410.63,财务部,否,北京培训费报销（第299笔）
100300,2026-12-01,交通费,412.00,市场部,是,
100301,2026-01-08,差旅费,413.37,市场部,否,深圳维修费报销（第301笔）
100302,2026-02-15,办公用品,414.74,市场部,否,上海维修费报销（第302笔）
100303,2026-03-22,维修费,416.11,行政部,是,北京办公用品报销（第303笔）
100304,2026-04-01,培训费,417.48,销售部,否,武汉交通费报销（第304笔）
100305,2026-05-08,交通费,418.85,销售部,否,上海差旅费报销（第305笔）
100306,2026-06-15,差旅费,420.22,市场部,是,武汉培训费报销（第306笔）
100307,2026-07-22,快递费,421.59,行政部,否,北京交通费报销（第307笔）
100308,2026-08-01,维修费,422.96,市场部,否,北京快递费报销（第308笔）
100309,2026-09-08,差旅费,424.33,市场部,是,成都招待费报销（第309笔）
100310,2026-10-15,交通费,425.70,行政部,否,武汉通讯费报销（第310笔）
100311,2026-11-22,维修费,427.07,财务部,否,深圳通讯费报销（第311笔）
100312,2026-12-01,招待费,428.44,财务部,是,杭州快递费报销（第312笔）
100313,2026-01-08,办公用品,429.81,销售部,否,西安维修费报销（第313笔）
100314,2026-02-15,通讯费,431.18,技术部,否,成都通讯费报销（第314笔）
100315,2026-03-22,维修费,432.55,财务部,是,成都差旅费报销（第315笔）
100316,2026-04-01,通讯费,433.92,销售部,否,西安交通费报销（第316笔）
100317,2026-05-08,交通费,435.29,财务部,否,北京维修费报销（第317笔）
100318,2026-06-15,维修费,436.66,销售部,是,成都办公用品报销（第318笔）
100319,2026-07-22,维修费,438.03,销售部,否,武汉差旅费报销（第319笔）
100320,2026-08-01,维修费,439.40,行政部,否,上海差旅费报销（第320笔）
100321,2026-09-08,差旅费,440.77,市场部,是,深圳办公用品报销（第321笔）
100322,2026-10-15,办公用品,442.14,销售部,否,杭州办公用品报销（第322笔）
100323,2026-11-22,招待费,443.51,技术部,否,上海快递费报销（第323笔）
100324,2026-12-01,招待费,444.88,市场部,是,成都交通费报销（第324笔）
100325,2026-01-08,招待费,446.25,市场部,否,武汉差旅费报销（第325笔）
100326,2026-02-15,办公用品,447.62,财务部,否,深圳招待费报销（第326笔）
100327,2026-03-22,快递费,448.99,市场部,是,上海交通费报销（第327笔）
100328,2026-04-01,维修费,450.36,技术部,否,西安办公用品报销（第328笔）
100329,2026-05-08,招待费,451.73,行政部,否,西安快递费报销（第329笔）
100330,2026-06-15,交通费,453.10,财务部,是,深圳维修费报销（第330笔）
100331,2026-07-22,差旅费,454.47,行政部,否,北京差旅费报销（第331笔）
100332,2026-08-01,办公用品,455.84,销售部,否,北京快递费报销（第332笔）
100333,2026-09-08,办公用品,457.21,财务部,是,北京维修费报销（第333笔）
100334,2026-10-15,交通费,458.58,技术部,否,北京维修费报销（第334笔）
100335,2026-11-22,通讯费,459.95,市场部,否,武汉通讯费报销（第335笔）
100336,2026-12-01,交通费,461.32,市场部,是,深圳快递费报销（第336笔）
100337,2026-01-08,办公用品,462.69,销售部,否,上海通讯费报销（第337笔）
100338,2026-02-15,培训费,464.06,技术部,否,成都维修费报销（第338笔）
100339,2026-03-22,快递费,465.43,行政部,是,杭州交通费报销（第339笔）
100340,2026-04-01,办公用品,466.80,财务部,否,上海交通费报销（第340笔）
100341,2026-05-08,差旅费,468.17,行政部,否,成都交通费报销（第341笔）
100342,2026-06-15,招待费,469.54,市场部,是,成都招待费报销（第342笔）
100343,2026-07-22,差旅费,470.91,市场部,否,杭州交通费报销（第343笔）
100344,2026-08-01,交通费,472.28,市场部,否,北京培训费报销（第344笔）
100345,2026-09-08,通讯费,473.65,财务部,是,北京招待费报销（第345笔）
100346,2026-10-15,招待费,475.02,销售部,否,西安差旅费报销（第346笔）
100347,2026-11-22,维修费,476.39,财务部,否,上海交通费报销（第347笔）
100348,2026-12-01,差旅费,477.76,技术部,是,北京维修费报销（第348笔）
100349,2026-01-08,招待费,479.13,行政部,否,西安交通费报销（第349笔）
100350,2026-02-15,通讯费,480.50,技术部,否,
100351,2026-03-22,培训费,481.87,技术部,是,深圳差旅费报销（第351笔）
100352,2026-04-01,招待费,483.24,行政部,否,深圳办公用品报销（第352笔）
100353,2026-05-08,办公用品,484.61,行政部,否,武汉通讯费报销（第353笔）
100354,2026-06-15,快递费,485.98,财务部,是,成都差旅费报销（第354笔）
100355,2026-07-22,维修费,487.35,技术部,否,深圳招待费报销（第355笔）
100356,2026-08-01,培训费,488.72,技术部,否,杭州快递费报销（第356笔）
100357,2026-09-08,快递费,490.09,财务部,是,深圳交通费报销（第357笔）
100358,2026-10-15,办公用品,491.46,财务部,否,上海维修费报销（第358笔）
100359,2026-11-22,办公用品,492.83,行政部,否,西安差旅费报销（第359笔）
